AFFGEOID,NAME,POPEST_2017
0500000US13245,"Richmond County, Georgia",201800
0500000US13247,"Rockdale County, Georgia",90312
0500000US13249,"Schley County, Georgia",5213
0500000US13251,"Screven County, Georgia",13953
0500000US13253,"Seminole County, Georgia",8292
0500000US13255,"Spalding County, Georgia",65380
0500000US13257,"Stephens County, Georgia",25890
0500000US13259,"Stewart County, Georgia",5985
0500000US13261,"Sumter County, Georgia",29847
0500000US13263,"Talbot County, Georgia",6249
0500000US13265,"Taliaferro County, Georgia",1628
0500000US13267,"Tattnall County, Georgia",25334
0500000US13269,"Taylor County, Georgia",8142
0500000US13271,"Telfair County, Georgia",15989
0500000US13273,"Terrell County, Georgia",8729
0500000US13275,"Thomas County, Georgia",44779
0500000US13277,"Tift County, Georgia",40598
0500000US13279,"Toombs County, Georgia",26999
0500000US13281,"Towns County, Georgia",11506
0500000US13283,"Treutlen County, Georgia",6740
0500000US13285,"Troup County, Georgia",69786
0500000US13287,"Turner County, Georgia",7961
0500000US13289,"Twiggs County, Georgia",8174
0500000US13291,"Union County, Georgia",23459
0500000US13293,"Upson County, Georgia",26135
0500000US13295,"Walker County, Georgia",68939
0500000US13297,"Walton County, Georgia",91600
0500000US13299,"Ware County, Georgia",35871
0500000US13301,"Warren County, Georgia",5303
0500000US13303,"Washington County, Georgia",20313
0500000US13305,"Wayne County, Georgia",29817
0500000US13307,"Webster County, Georgia",2605
0500000US13309,"Wheeler County, Georgia",7952
0500000US13311,"White County, Georgia",29453
0500000US13313,"Whitfield County, Georgia",104658
0500000US13315,"Wilcox County, Georgia",8800
0500000US13317,"Wilkes County, Georgia",9892
0500000US13319,"Wilkinson County, Georgia",8959
0500000US13321,"Worth County, Georgia",20533
0500000US15001,"Hawaii County, Hawaii",200381
0500000US15003,"Honolulu County, Hawaii",988650
0500000US15005,"Kalawao County, Hawaii",88
0500000US15007,"Kauai County, Hawaii",72159
0500000US15009,"Maui County, Hawaii",166260
0500000US16001,"Ada County, Idaho",456849
0500000US16003,"Adams County, Idaho",4147
0500000US16005,"Bannock County, Idaho",85269
0500000US16007,"Bear Lake County, Idaho",6028
0500000US16009,"Benewah County, Idaho",9184
0500000US16011,"Bingham County, Idaho",45927
0500000US16013,"Blaine County, Idaho",22024
0500000US16015,"Boise County, Idaho",7290
0500000US16017,"Bonner County, Idaho",43560
0500000US16019,"Bonneville County, Idaho",114595
0500000US16021,"Boundary County, Idaho",11922
0500000US16023,"Butte County, Idaho",2602
0500000US16025,"Camas County, Idaho",1102
0500000US16027,"Canyon County, Idaho",216699
0500000US16029,"Caribou County, Idaho",7034
0500000US16031,"Cassia County, Idaho",23664
0500000US16033,"Clark County, Idaho",873
